;Acao;Data;Hora;Descrição;Link
0;VALE3;07/07/2023;18:14;Política de Gestão de Consequencias Vale;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1120710&descTipo=IPE&CodigoInstituicao=1
1;VALE3;07/07/2023;10:32;Datas Divulgação de Resultados 2T23;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1120469&descTipo=IPE&CodigoInstituicao=1
2;VALE3;03/07/2023;09:44;Barragem Torto em Brucutu recebe Licença de Operação;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1118701&descTipo=IPE&CodigoInstituicao=1
3;VALE3;29/06/2023;19:12;Vale anuncia nomeação de Lead Independent Director e alteração no Comitê de Auditoria e Riscos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1117958&descTipo=IPE&CodigoInstituicao=1
4;VALE3;22/06/2023;16:09;Vale anuncia precificação de ofertas de aquisição de bonds com vencimento em 2039 e 2036;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1115753&descTipo=IPE&CodigoInstituicao=1
5;VALE3;22/06/2023;09:33;Vale anuncia resultados das ofertas de aquisição de bonds com vencimento em 2039, 2036, 2034 e 2042 ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1115659&descTipo=IPE&CodigoInstituicao=1
6;VALE3;20/06/2023;11:10;Vale esclarece notícias sobre seu negócio de Metais para Transição Energética;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1114888&descTipo=IPE&CodigoInstituicao=1
7;VALE3;13/06/2023;21:30;Vale comunica o encerramento e o resultado de oferta de aquisição de bonds com vencimento em 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1113128&descTipo=IPE&CodigoInstituicao=1
8;VALE3;13/06/2023;14:43;Vale comunica precificação de oferta de aquisição de bonds com vencimento 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1112904&descTipo=IPE&CodigoInstituicao=1
9;VALE3;07/06/2023;23:03;Vale precifica US$1,5 bilhão em bonds com vencimento em 2033;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1111428&descTipo=IPE&CodigoInstituicao=1
10;VALE3;07/06/2023;10:57;Vale pretende emitir bonds com vencimento em 2033;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1110817&descTipo=IPE&CodigoInstituicao=1
11;VALE3;07/06/2023;10:46;Vale comunica ofertas de aquisição de bonds com vencimento em 2026, 2039, 2036, 2034 e 2042;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1110810&descTipo=IPE&CodigoInstituicao=1
12;VALE3;31/05/2023;21:50;Vale informa sobre Plano de Recuperação Judicial da Samarco;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1108418&descTipo=IPE&CodigoInstituicao=1
13;VALE3;16/05/2023;19:01;Vale informa a nova composição do Comitê de Auditoria e Riscos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1103236&descTipo=IPE&CodigoInstituicao=1
14;VALE3;02/05/2023;18:58;Vale assina acordo vinculante para venda da participação na MRN;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1095320&descTipo=IPE&CodigoInstituicao=1
15;VALE3;27/04/2023;07:31;Vale assina acordo vinculante para venda da participação na MRN;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1090951&descTipo=IPE&CodigoInstituicao=1
16;VALE3;18/04/2023;18:33;Produção e vendas da Vale no 1T23;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1087343&descTipo=IPE&CodigoInstituicao=1
17;VALE3;13/04/2023;07:28;Vale arquiva relatório anual Form 20-F de 2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1085701&descTipo=IPE&CodigoInstituicao=1
18;VALE3;31/03/2023;08:10;Vale esclarece notícia em mídia ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1080602&descTipo=IPE&CodigoInstituicao=1
19;VALE3;28/03/2023;20:02;Vale anuncia acordo com a Securities and Exchange Commission dos Estados Unidos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1078793&descTipo=IPE&CodigoInstituicao=1
20;VALE3;09/03/2023;18:26;Vale conclui a venda da CSP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1070902&descTipo=IPE&CodigoInstituicao=1
21;VALE3;09/03/2023;00:17;Conselho de Administração divulga lista de candidatos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1070489&descTipo=IPE&CodigoInstituicao=1
22;VALE3;08/03/2023;23:55;Conselho de Administração divulga lista de candidatos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1070484&descTipo=IPE&CodigoInstituicao=1
23;VALE3;02/03/2023;18:08;Vale anuncia cancelamento de ações em tesouraria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1067876&descTipo=IPE&CodigoInstituicao=1
24;VALE3;16/02/2023;18:46;Vale anuncia distribuição de remuneração aos acionistas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1061871&descTipo=IPE&CodigoInstituicao=1
25;VALE3;31/01/2023;18:17;Produção e vendas da Vale no 4T22 e 2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1053673&descTipo=IPE&CodigoInstituicao=1
26;VALE3;17/01/2023;18:03;Datas de divulgação do desempenho do 4T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1050246&descTipo=IPE&CodigoInstituicao=1
27;VALE3;17/01/2023;17:41;Datas de divulgação do desempenho do 4T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1050232&descTipo=IPE&CodigoInstituicao=1
28;VALE3;22/12/2022;19:16;Vale informa sobre composição do Comitê de Auditoria e Risco;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1044004&descTipo=IPE&CodigoInstituicao=1
29;VALE3;22/12/2022;19:05;Novo desenho da alta liderança da Vale para acelerar atingimento dos objetivos estratégicos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1043991&descTipo=IPE&CodigoInstituicao=1
30;VALE3;07/12/2022;11:08;Vale informa sobre atualização de projeções ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1038893&descTipo=IPE&CodigoInstituicao=1
31;VALE3;07/12/2022;09:18;Vale informa sobre atualização de projeções ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1038852&descTipo=IPE&CodigoInstituicao=1
