Date;Open;High;Low;Close;Adj Close;Volume;ret;tret;Adj Low;Adj High;Adj Open;Returns;Target;Vol;MM20;Detrend
2011-02-03;19.559999465942383;19.989999771118164;19.5;19.690000534057617;15.915323257446289;3369100;;;15.725322723388672;16.215322494506836;15.785322189331055;;0.0;;;
2011-02-04;19.709999084472656;19.799999237060547;19.5;19.690000534057617;15.915323257446289;374300;0.0;0.0;15.725322723388672;16.02532196044922;15.935321807861328;0.0;-0.01218892662495552;;;
2011-02-07;19.600000381469727;19.690000534057617;19.299999237060547;19.450000762939453;15.721332550048828;258400;-1.22;-1.22;15.571331024169922;15.961332321166992;15.871332168579102;-0.01218892662495552;0.017994891359496723;;;
2011-02-08;19.59000015258789;19.799999237060547;19.5;19.799999237060547;16.004236221313477;3920;1.8;0.5800000000000001;15.70423698425293;16.004236221313477;15.79423713684082;0.017994891359496723;0.0010100313091829793;;;
2011-02-09;19.899999618530273;19.899999618530273;19.729999542236328;19.81999969482422;16.020401000976562;146800;0.1;0.68;15.930400848388672;16.100400924682617;16.100400924682617;0.0010100313091829793;0.014127241971477744;;;
2011-02-10;19.81999969482422;20.190000534057617;19.81999969482422;20.100000381469727;16.24672508239746;71500;1.41;2.09;15.966724395751953;16.33672523498535;15.966724395751953;0.014127241971477744;0.0039802943497171395;;;
2011-02-11;20.149999618530273;20.190000534057617;20.0;20.18000030517578;16.311391830444336;388400;0.4;2.4899999999999998;16.131391525268555;16.321392059326172;16.281391143798828;0.0039802943497171395;0.010901596107610212;;;
2011-02-14;20.010000228881836;20.399999618530273;19.899999618530273;20.399999618530273;16.489212036132812;324800;1.09;3.58;15.989212036132812;16.489212036132812;16.099212646484375;0.010901596107610212;0.0;;;
2011-02-15;20.0;20.479999542236328;20.0;20.399999618530273;16.489212036132812;50900;0.0;3.58;16.08921241760254;16.569211959838867;16.08921241760254;0.0;0.009804055385851163;;;
2011-02-16;20.1200008392334;20.600000381469727;20.1200008392334;20.600000381469727;16.6508731842041;40000;0.98;4.5600000000000005;16.170873641967773;16.6508731842041;16.170873641967773;0.009804055385851163;0.019417394542611488;;;
2011-02-17;20.489999771118164;21.0;20.489999771118164;21.0;16.97418975830078;178900;1.94;6.5;16.464189529418945;16.97418975830078;16.464189529418945;0.019417394542611488;0.019047765660557214;;;
2011-02-18;20.610000610351562;21.540000915527344;20.610000610351562;21.399999618530273;17.297510147094727;89900;1.9;8.4;16.507511138916016;17.437511444091797;16.507511138916016;0.019047765660557214;-0.007009357387910309;;;
2011-02-21;21.239999771118164;21.690000534057617;21.010000228881836;21.25;17.176265716552734;11700;-0.7;7.7;16.93626594543457;17.61626625061035;17.1662654876709;-0.007009357387910309;0.018823338674626378;;;
2011-02-22;21.479999542236328;21.649999618530273;21.0;21.649999618530273;17.49958038330078;53900;1.88;9.58;16.849580764770508;17.49958038330078;17.329580307006836;0.018823338674626378;0.015242587865484047;;;
2011-02-23;21.229999542236328;21.979999542236328;21.229999542236328;21.979999542236328;17.766319274902344;33300;1.52;11.1;17.016319274902344;17.766319274902344;17.016319274902344;0.015242587865484047;0.0;;;
2011-02-24;21.979999542236328;21.979999542236328;21.979999542236328;21.979999542236328;17.766319274902344;0;0.0;11.1;17.766319274902344;17.766319274902344;17.766319274902344;0.0;0.0009100700100099779;;;
2011-02-25;21.950000762939453;22.5;21.760000228881836;22.0;17.782487869262695;148100;0.09;11.19;17.54248809814453;18.282487869262695;17.73248863220215;0.0009100700100099779;0.0272726638918519;;;
2011-02-28;21.3799991607666;22.850000381469727;21.3799991607666;22.600000381469727;18.26746368408203;295000;2.73;13.92;17.047462463378906;18.51746368408203;17.047462463378906;0.0272726638918519;-0.008849781130852441;;;
2011-03-01;22.799999237060547;22.799999237060547;22.350000381469727;22.399999618530273;18.10580062866211;43600;-0.88;13.04;18.055801391601562;18.505800247192383;18.505800247192383;-0.008849781130852441;0.02455372333174677;;;
2011-03-02;22.239999771118164;22.989999771118164;22.239999771118164;22.950000762939453;18.550365447998047;428000;2.46;15.5;17.840364456176758;18.590364456176758;17.840364456176758;0.02455372333174677;0.021786427636207195;;16.947516632080077;1.6028488159179695
2011-03-03;22.950000762939453;23.5;22.690000534057617;23.450000762939453;18.954511642456055;201700;2.18;17.68;18.19451141357422;19.0045108795166;18.454511642456055;0.021786427636207195;0.0017057398937352364;0.1863;17.099476051330566;1.855035591125489
2011-03-04;23.469999313354492;23.739999771118164;22.940000534057617;23.489999771118164;18.98684310913086;43800;0.17;17.85;18.436843872070312;19.23684310913086;18.966842651367188;0.0017057398937352364;0.0;0.1853;17.253052043914796;1.7337910652160637
2011-03-09;23.489999771118164;23.489999771118164;23.489999771118164;23.489999771118164;18.98684310913086;0;0.0;17.85;18.98684310913086;18.98684310913086;18.98684310913086;0.0;-0.0038313040819225597;0.1714;17.416327571868898;1.5705155372619615
2011-03-10;23.799999237060547;23.799999237060547;23.260000228881836;23.399999618530273;18.914098739624023;10300;-0.38;17.470000000000002;18.774099349975586;19.314098358154297;19.314098358154297;-0.0038313040819225597;-0.0021367557998414055;0.1746;17.561820697784423;1.3522780418396003
