Date;Open;High;Low;Close;Adj Close;Volume;ret;tret;Adj Low;Adj High;Adj Open;Returns;Target;Vol;MM20;Detrend
2010-01-04;16122.1611328125;16122.1611328125;16122.1611328125;16122.1611328125;9677.5322265625;0;;;9677.5322265625;9677.5322265625;9677.5322265625;;0.004838042530252551;;;
2010-01-05;16122.1611328125;16200.162109375;16122.1611328125;16200.162109375;9724.3525390625;66;0.48;0.48;9646.3515625;9724.3525390625;9646.3515625;0.004838042530252551;0.004629666358932694;;;
2010-01-06;16275.1630859375;16275.1630859375;16275.1630859375;16275.1630859375;9769.373046875;6;0.46;0.94;9769.373046875;9769.373046875;9769.373046875;0.004629666358932694;-0.007373170177286004;;;
2010-01-07;16275.1630859375;16275.1630859375;16155.1611328125;16155.1611328125;9697.341796875;13;-0.74;0.19999999999999996;9697.341796875;9817.34375;9817.34375;-0.007373170177286004;0.010213414235014096;;;
2010-01-08;16320.1630859375;16320.1630859375;16320.1630859375;16320.1630859375;9796.384765625;0;1.02;1.22;9796.384765625;9796.384765625;9796.384765625;0.010213414235014096;0.0018382100061227202;;;
2010-01-11;16320.1630859375;16350.1630859375;16320.1630859375;16350.1630859375;9814.392578125;5;0.18;1.4;9784.392578125;9814.392578125;9784.392578125;0.0018382100061227202;0.009174384956404769;;;
2010-01-12;16498.6640625;16500.1640625;16498.6640625;16500.1640625;9904.43359375;4;0.92;2.32;9902.93359375;9904.43359375;9902.93359375;0.009174384956404769;0.0;;;
2010-01-13;16500.1640625;16500.1640625;16500.1640625;16500.1640625;9904.43359375;1;0.0;2.32;9904.43359375;9904.43359375;9904.43359375;0.0;0.0;;;
2010-01-14;16500.1640625;16500.1640625;16500.1640625;16500.1640625;9904.43359375;0;0.0;2.32;9904.43359375;9904.43359375;9904.43359375;0.0;0.0;;;
2010-01-15;16500.1640625;16500.1640625;16500.1640625;16500.1640625;9904.43359375;0;0.0;2.32;9904.43359375;9904.43359375;9904.43359375;0.0;-0.003636313440753103;;;
2010-01-18;16584.166015625;16584.166015625;16440.1640625;16440.1640625;9868.41796875;6;-0.36;1.96;9868.41796875;10012.419921875;10012.419921875;-0.003636313440753103;0.01277364461676389;;;
2010-01-19;15606.15625;17988.1796875;15600.15625;16650.166015625;9994.4736328125;5;1.28;3.24;8944.4638671875;11332.4873046875;8950.4638671875;0.01277364461676389;0.0;;;
2010-01-20;16650.166015625;16650.166015625;16650.166015625;16650.166015625;9994.4736328125;1;0.0;3.24;9994.4736328125;9994.4736328125;9994.4736328125;0.0;-0.027027045512749703;;;
2010-01-21;15606.15625;16500.1640625;15600.15625;16200.162109375;9724.3525390625;12;-2.7;0.54;9124.3466796875;10024.3544921875;9130.3466796875;-0.027027045512749703;-0.0018518263738036556;;;
2010-01-22;16170.162109375;16170.162109375;16170.162109375;16170.162109375;9706.3447265625;0;-0.19;0.35000000000000003;9706.3447265625;9706.3447265625;9706.3447265625;-0.0018518263738036556;0.0014842095975198255;;;
2010-01-26;16194.162109375;16194.162109375;16194.162109375;16194.162109375;9720.7509765625;1;0.15;0.5;9720.7509765625;9720.7509765625;9720.7509765625;0.0014842095975198255;0.03705075191010221;;;
2010-01-27;15372.1533203125;16800.16796875;15300.1533203125;16794.16796875;10080.912109375;3;3.71;4.21;8586.8974609375;10086.912109375;8658.8974609375;0.03705075191010221;0.03429807299415444;;;
2010-01-28;16500.1640625;17370.173828125;16500.1640625;17370.173828125;10426.66796875;14;3.43;7.640000000000001;9556.658203125;10426.66796875;9556.658203125;0.03429807299415444;0.0013815797607321656;;;
2010-01-29;17400.173828125;17400.173828125;16860.16796875;17394.173828125;10441.0732421875;7;0.14;7.78;9907.0673828125;10447.0732421875;10447.0732421875;0.0013815797607321656;-0.020351752707414295;;;
2010-02-01;16980.169921875;17250.171875;16980.169921875;17040.169921875;10228.5791015625;1;-2.04;5.74;10168.5791015625;10438.5810546875;10168.5791015625;-0.020351752707414295;0.0035210780150782828;;9914.157861328125;314.42124023437464
2010-02-02;17106.171875;17106.171875;17100.171875;17100.171875;10264.5947265625;3;0.35;6.09;10264.5947265625;10270.5947265625;10270.5947265625;0.0035210780150782828;0.0;0.2302;9943.510986328125;321.083740234375
2010-02-03;17100.171875;17100.171875;17100.171875;17100.171875;10264.5947265625;0;0.0;6.09;10264.5947265625;10264.5947265625;10264.5947265625;0.0;-0.01543866893033885;0.2303;9970.523095703125;294.07163085937464
2010-02-04;16836.16796875;16836.16796875;16836.16796875;16836.16796875;10106.123046875;2;-1.54;4.55;10106.123046875;10106.123046875;10106.123046875;-0.01543866893033885;0.0;0.2391;9987.360595703125;118.762451171875
