Date;Open;High;Low;Close;Adj Close;Volume
2010-01-04;16.25;17.25;16.25;17.25;12.642721176147461;8916
2010-01-05;16.75;17.5;16.75;17.5;12.825948715209961;1912
2010-01-06;17.0;17.0;17.0;17.0;12.459492683410645;512
2010-01-07;17.25;17.25;17.25;17.25;12.642721176147461;400
2010-01-08;16.75;18.5;16.75;16.75;12.276265144348145;5376
2010-01-11;17.5;17.5;16.75;17.0;12.459492683410645;4580
2010-01-12;16.75;16.75;16.25;16.75;12.276265144348145;4916
2010-01-13;18.0;18.0;16.75;16.75;12.276265144348145;2632
2010-01-14;16.75;17.25;16.75;17.0;12.459492683410645;12272
2010-01-15;16.75;18.25;16.75;17.75;13.009176254272461;43124
2010-01-18;18.25;18.75;17.75;18.0;13.192403793334961;12740
2010-01-19;18.25;21.5;18.25;20.5;15.024682998657227;21900
2010-01-20;20.75;26.5;20.75;24.75;18.139556884765625;20436
2010-01-21;25.25;29.75;23.0;24.25;17.773099899291992;10856
2010-01-22;24.0;24.0;23.0;23.25;17.040189743041992;3628
2010-01-26;23.25;23.25;21.25;22.5;16.49050521850586;4324
2010-01-27;22.25;22.75;22.0;22.0;16.12405014038086;1012
2010-01-28;22.5;22.75;22.25;22.5;16.49050521850586;2096
2010-01-29;22.75;24.25;22.5;22.5;16.49050521850586;1632
2010-02-01;23.0;24.5;23.0;23.0;16.85696029663086;3916
2010-02-02;24.25;24.25;23.5;24.0;17.589872360229492;908
2010-02-03;23.5;24.75;23.5;23.5;17.223417282104492;1768
2010-02-04;23.5;23.5;22.75;22.75;16.67373275756836;1872
2010-02-05;22.0;22.25;21.75;22.25;16.30727767944336;1412
2010-02-08;23.0;23.0;21.75;21.75;15.940820693969727;380
2010-02-09;22.0;24.75;22.0;22.5;16.49050521850586;1144
2010-02-10;22.5;22.5;22.5;22.5;16.49050521850586;0
2010-02-11;23.25;23.75;23.0;23.75;17.40664291381836;1392
2010-02-12;23.25;23.25;23.0;23.0;16.85696029663086;144
2010-02-17;23.5;23.5;23.0;23.0;16.85696029663086;556
