Date;Open;High;Low;Close;Adj Close;Volume
2010-01-04;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-05;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-06;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-07;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-08;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-11;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-12;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-13;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-14;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-15;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-18;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-19;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-20;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-21;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-22;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-26;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-27;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-28;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-01-29;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-01;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-02;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-03;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-04;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-05;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-08;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-09;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-10;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-11;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-12;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-17;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-18;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-19;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-22;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-23;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-24;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-25;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-02-26;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-01;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-02;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-03;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-04;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-05;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-08;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-09;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-10;36.0;36.0;36.0;36.0;12.474360466003418;0
2010-03-11;35.0;35.0;35.0;35.0;12.127849578857422;300
2010-03-12;35.0;35.0;35.0;35.0;12.127849578857422;0
2010-03-15;35.5;35.5;35.5;35.5;12.301106452941895;100
2010-03-16;35.5;35.5;35.5;35.5;12.301106452941895;0
2010-03-17;35.5;35.5;35.5;35.5;12.301106452941895;0
2010-03-18;35.5;35.5;35.5;35.5;12.301106452941895;0
