Date;Open;High;Low;Close;Adj Close;Volume
2010-01-04;20.5;20.5;20.5;20.5;11.354896545410156;0
2010-01-05;20.5;20.5;20.5;20.5;11.354896545410156;0
2010-01-06;20.5;20.5;20.5;20.5;11.354896545410156;0
2010-01-07;20.5;20.5;20.5;20.5;11.354896545410156;0
2010-01-08;20.5;20.5;20.5;20.5;11.354896545410156;0
2010-01-11;21.0;21.0;21.0;21.0;11.631848335266113;200
2010-01-12;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-13;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-14;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-15;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-18;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-19;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-20;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-21;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-22;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-26;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-27;21.0;21.0;21.0;21.0;11.631848335266113;0
2010-01-28;22.0;22.0;22.0;22.0;12.185742378234863;100
2010-01-29;22.0;22.0;22.0;22.0;12.185742378234863;0
2010-02-01;22.0;22.0;22.0;22.0;12.185742378234863;0
2010-02-02;22.989999771118164;22.989999771118164;22.989999771118164;22.989999771118164;12.734100341796875;200
2010-02-03;24.5;24.5;24.5;24.5;13.570487976074219;100
2010-02-04;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-05;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-08;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-09;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-10;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-11;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-12;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-17;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-18;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-19;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-22;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-23;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-24;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-25;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-02-26;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-01;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-02;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-03;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-04;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-05;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-08;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-09;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-10;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-11;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-12;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-15;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-16;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-17;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-18;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-19;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-22;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-23;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-24;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-25;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-26;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-29;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-30;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-03-31;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-01;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-05;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-06;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-07;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-08;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-09;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-12;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-13;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-14;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-15;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-16;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-19;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-20;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-22;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-23;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-26;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-27;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-28;24.5;24.5;24.5;24.5;13.570487976074219;0
2010-04-29;24.5;24.5;24.5;24.5;13.626288414001465;0
2010-04-30;24.5;24.5;24.5;24.5;13.626288414001465;0
