Date;Open;High;Low;Close;Adj Close;Volume
2010-01-04;1689.0;1705.0;1680.0;1702.0;1406.8076171875;62216
2010-01-05;1716.0;1749.0;1716.0;1728.0;1428.2982177734375;29736
2010-01-06;1730.0;1770.0;1715.0;1743.0;1440.69677734375;57232
2010-01-07;1730.0;1745.0;1721.0;1731.0;1430.778076171875;23720
2010-01-08;1731.0;1740.0;1710.0;1724.0;1424.9921875;21456
2010-01-11;1730.0;1740.0;1692.0;1713.0;1415.89990234375;35792
2010-01-12;1686.0;1705.0;1682.0;1705.0;1409.287353515625;44656
2010-01-13;1713.0;1717.0;1683.0;1700.0;1405.1546630859375;31344
2010-01-14;1686.0;1694.0;1670.0;1670.0;1380.357666015625;32384
2010-01-15;1500.0;1515.0;1489.0;1489.0;1230.75;281904
2010-01-18;1504.0;1505.0;1438.0;1450.0;1198.5142822265625;108480
2010-01-19;1453.0;1453.0;1410.0;1420.0;1173.7174072265625;102792
2010-01-20;1410.0;1432.0;1360.0;1396.0;1153.8798828125;112672
2010-01-21;1408.0;1425.0;1367.0;1380.0;1140.655029296875;97968
2010-01-22;1380.0;1380.0;1338.0;1350.0;1115.8580322265625;129608
2010-01-26;1352.0;1375.0;1340.0;1363.0;1126.603515625;74952
2010-01-27;1368.0;1383.0;1340.0;1346.0;1112.5518798828125;45944
2010-01-28;1356.0;1378.0;1310.0;1333.0;1101.806640625;108808
2010-01-29;1348.0;1357.0;1309.0;1309.0;1081.9691162109375;73928
2010-02-01;1320.0;1320.0;1291.0;1302.0;1076.1829833984375;67544
2010-02-02;1305.0;1330.0;1305.0;1307.0;1080.31591796875;84128
2010-02-03;1315.0;1354.0;1310.0;1347.0;1113.37841796875;77040
2010-02-04;1340.0;1371.0;1302.0;1310.0;1082.795654296875;110264
2010-02-05;1290.0;1318.0;1251.0;1284.0;1061.3050537109375;110328
2010-02-08;1295.0;1329.0;1287.0;1291.0;1067.0909423828125;61880
2010-02-09;1303.0;1319.0;1295.0;1305.0;1078.6629638671875;60728
2010-02-10;1311.0;1340.0;1291.0;1300.0;1074.530029296875;57864
2010-02-11;1306.0;1326.0;1292.0;1326.0;1096.0206298828125;57240
2010-02-12;1316.0;1347.0;1305.0;1314.0;1086.101806640625;103768
2010-02-17;1325.0;1333.0;1297.0;1299.0;1073.703369140625;74664
2010-02-18;1301.0;1306.0;1280.0;1295.0;1070.397216796875;83224
2010-02-19;1286.0;1296.0;1263.0;1274.0;1053.039306640625;80344
2010-02-22;1279.0;1286.0;1265.0;1280.0;1057.998779296875;58728
2010-02-23;1279.0;1279.0;1261.0;1268.0;1048.079833984375;88224
2010-02-24;1278.0;1278.0;1252.0;1252.0;1034.85498046875;66032
2010-02-25;1245.0;1258.0;1216.0;1253.0;1035.681640625;62792
2010-02-26;1256.0;1278.0;1230.0;1242.0;1026.5894775390625;54112
2010-03-01;1249.0;1249.0;1226.0;1228.0;1015.0176391601562;90224
2010-03-02;1236.0;1247.0;1231.0;1235.0;1020.803466796875;80200
2010-03-03;1242.0;1265.0;1235.0;1251.0;1034.0283203125;57424
2010-03-04;1256.0;1273.0;1250.0;1258.0;1039.8143310546875;56832
2010-03-05;1270.0;1270.0;1250.0;1254.0;1036.5081787109375;42856
2010-03-08;1266.0;1266.0;1231.0;1231.0;1017.497314453125;47856
2010-03-09;1220.0;1249.0;1210.0;1247.0;1030.72216796875;60920
2010-03-10;1255.0;1315.0;1249.0;1315.0;1086.928466796875;106912
2010-03-11;1316.0;1321.0;1292.0;1303.0;1077.009765625;54464
2010-03-12;1316.0;1319.0;1283.0;1287.0;1063.7847900390625;64104
2010-03-15;1276.0;1299.0;1269.0;1276.0;1054.6923828125;50440
2010-03-16;1266.0;1294.0;1265.0;1290.0;1066.264404296875;36064
2010-03-17;1305.0;1309.0;1275.0;1285.0;1062.131591796875;42912
2010-03-18;1288.0;1294.0;1261.0;1272.0;1051.38623046875;58616
2010-03-19;1282.0;1282.0;1260.0;1269.0;1048.9066162109375;45464
2010-03-22;1257.0;1268.0;1255.0;1262.0;1043.1207275390625;44952
