Date;Open;High;Low;Close;Adj Close;Volume;ret;tret;Adj Low;Adj High;Adj Open;Returns;Target;Vol;MM20;Detrend
2010-01-04;1189.31787109375;1207.51806640625;1177.4176025390625;1186.517822265625;905.715576171875;1754;;;896.6153564453125;926.7158203125;908.515625;;-0.005899559303695012;;;
2010-01-05;1195.2679443359375;1195.2679443359375;1154.6673583984375;1179.5177001953125;900.3722534179688;5302;-0.59;-0.59;875.5219116210938;916.1224975585938;916.1224975585938;-0.005899559303695012;0.005934570655217408;;;
2010-01-06;1193.5179443359375;1193.5179443359375;1179.5177001953125;1186.517822265625;905.715576171875;811;0.59;0.0;898.7154541015625;912.7156982421875;912.7156982421875;0.005934570655217408;0.0;;;
2010-01-07;1186.517822265625;1190.017822265625;1177.067626953125;1186.517822265625;905.715576171875;479;0.0;0.0;896.265380859375;909.215576171875;905.715576171875;0.0;0.005899761470328224;;;
2010-01-08;1193.1678466796875;1193.5179443359375;1180.2176513671875;1193.5179443359375;911.05908203125;2865;0.59;0.59;897.7587890625;911.05908203125;910.708984375;0.005899761470328224;0.02346049975105169;;;
2010-01-11;1193.5179443359375;1242.5186767578125;1193.5179443359375;1221.518310546875;932.4329833984375;1131;2.35;2.94;904.4326171875;953.433349609375;904.4326171875;0.02346049975105169;0.002865356521333906;;;
2010-01-12;1225.0184326171875;1241.818603515625;1188.6177978515625;1225.0184326171875;935.104736328125;1071;0.29;3.23;898.7041015625;951.9049072265625;935.104736328125;0.002865356521333906;0.011428417762152199;;;
2010-01-13;1228.5184326171875;1240.7685546875;1220.1182861328125;1239.0185546875;945.79150390625;668;1.14;4.37;926.8912353515625;947.54150390625;935.2913818359375;0.011428417762152199;0.002542358443371473;;;
2010-01-14;1238.6685791015625;1259.6689453125;1235.5185546875;1242.1685791015625;948.196044921875;782;0.25;4.62;941.5460205078125;965.6964111328125;944.696044921875;0.002542358443371473;0.02564105204913414;;;
2010-01-15;1242.1685791015625;1277.5191650390625;1232.0184326171875;1274.0191650390625;972.5087890625;2014;2.56;7.18;930.508056640625;976.0087890625;940.658203125;0.02564105204913414;0.024725134031364115;;;
2010-01-18;1261.7689208984375;1333.1700439453125;1261.7689208984375;1305.51953125;996.55419921875;442;2.47;9.65;952.8035888671875;1024.2047119140625;952.8035888671875;0.024725134031364115;-0.007506517820438874;;;
2010-01-19;1319.519775390625;1326.5198974609375;1295.719482421875;1295.719482421875;989.0735473632812;1019;-0.75;8.9;989.0735473632812;1019.8739624023438;1012.8738403320312;-0.007506517820438874;-0.0008103064113434977;;;
2010-01-20;1298.51953125;1298.51953125;1260.368896484375;1294.66943359375;988.2720947265625;1019;-0.08;8.82;953.9715576171875;992.1221923828125;992.1221923828125;-0.0008103064113434977;-0.02676420544903768;;;
2010-01-21;1298.51953125;1305.51953125;1260.0189208984375;1260.0189208984375;961.82177734375;659;-2.68;6.140000000000001;961.82177734375;1007.3223876953125;1000.3223876953125;-0.02676420544903768;0.004166706856647773;;;
2010-01-22;1260.0189208984375;1266.6689453125;1259.31884765625;1265.2689208984375;965.8294067382812;274;0.42;6.5600000000000005;959.8793334960938;967.2294311523438;960.5794067382812;0.004166706856647773;-0.004149417450505566;;;
2010-01-26;1264.9189453125;1289.769287109375;1249.518798828125;1260.0189208984375;961.82177734375;1377;-0.41;6.15;951.3216552734375;991.5721435546875;966.7218017578125;-0.004149417450505566;-0.00833315988183636;;;
2010-01-27;1277.169189453125;1277.5191650390625;1246.0186767578125;1249.518798828125;953.8067626953125;468;-0.83;5.32;950.306640625;981.80712890625;981.4571533203125;-0.00833315988183636;-0.028011213802627055;;;
2010-01-28;1249.518798828125;1249.518798828125;1214.5181884765625;1214.5181884765625;927.0894775390625;542;-2.8;2.5200000000000005;927.0894775390625;962.090087890625;962.090087890625;-0.028011213802627055;-0.005763743402157018;;;
2010-01-29;1219.768310546875;1230.2684326171875;1204.01806640625;1207.51806640625;921.7459716796875;1097;-0.58;1.9400000000000004;918.2459716796875;944.496337890625;933.9962158203125;-0.005763743402157018;0.02318836203637087;;;
2010-02-01;1207.51806640625;1242.86865234375;1186.517822265625;1235.5185546875;943.1197509765625;997;2.32;4.26;894.1190185546875;950.4698486328125;915.1192626953125;0.02318836203637087;0.01982995939574206;;943.5873443603516;-0.467593383789108
2010-02-02;1261.0689697265625;1261.0689697265625;1242.5186767578125;1260.0189208984375;961.82177734375;679;1.98;6.24;944.321533203125;962.871826171875;962.871826171875;0.01982995939574206;0.005555736057926364;0.2443;946.3926544189453;15.429122924804688
2010-02-03;1260.0189208984375;1276.119140625;1260.0189208984375;1267.01904296875;967.1654052734375;611;0.56;6.800000000000001;960.165283203125;976.2655029296875;960.165283203125;0.005555736057926364;-0.012707277364852998;0.2421;949.7323120117187;17.433093261718795
2010-02-04;1266.6689453125;1267.01904296875;1234.8184814453125;1250.9188232421875;954.8753662109375;3645;-1.27;5.530000000000001;938.7750244140625;970.9755859375;970.62548828125;-0.012707277364852998;-0.05987671973817554;0.2487;952.1903015136719;2.6850646972656023
2010-02-05;1219.4183349609375;1220.46826171875;1176.0177001953125;1176.0177001953125;897.7005615234375;505;-5.99;-0.4599999999999991;897.7005615234375;942.151123046875;941.1011962890625;-0.05987671973817554;0.017856902461978574;0.3338;951.78955078125;-54.0889892578125
2010-02-08;1183.0177001953125;1197.0179443359375;1179.5177001953125;1197.0179443359375;913.730712890625;508;1.79;1.330000000000001;896.23046875;913.730712890625;899.73046875;0.017856902461978574;0.011696018934223229;0.3394;951.9231323242187;-38.19241943359373
2010-02-09;1207.1680908203125;1221.518310546875;1191.06787109375;1211.0181884765625;924.417724609375;1959;1.17;2.500000000000001;904.4674072265625;934.9178466796875;920.567626953125;0.011696018934223229;0.026011543901025114;0.3312;951.5223693847656;-27.104644775390625
2010-02-10;1221.518310546875;1260.0189208984375;1221.518310546875;1242.5186767578125;948.4632568359375;2642;2.6;5.100000000000001;927.462890625;965.9635009765625;927.462890625;0.026011543901025114;0.014084383777160037;0.344;952.1902954101563;-3.7270385742187955
2010-02-11;1225.368408203125;1277.5191650390625;1225.368408203125;1260.0189208984375;961.82177734375;3702;1.41;6.510000000000002;927.1712646484375;979.322021484375;927.1712646484375;0.014084383777160037;-0.0002776281582345108;0.3452;952.9918090820313;8.829968261718705
2010-02-12;1260.0189208984375;1270.51904296875;1259.6689453125;1259.6689453125;961.5547485351562;848;-0.03;6.480000000000001;961.5547485351562;972.4048461914062;961.9047241210938;-0.0002776281582345108;0.0027785125065435956;0.3452;953.6597442626953;7.8950042724609375
2010-02-17;1260.368896484375;1273.6690673828125;1256.518798828125;1263.1689453125;964.2264404296875;382;0.28;6.760000000000002;957.5762939453125;974.7265625;961.4263916015625;0.0027785125065435956;-0.02466051470430919;0.3328;953.2456268310547;10.980813598632835
2010-02-18;1266.6689453125;1266.6689453125;1230.2684326171875;1232.0184326171875;940.4481201171875;854;-2.47;4.290000000000001;938.6981201171875;975.0986328125;975.0986328125;-0.02466051470430919;0.005681742219227015;0.3299;950.4403228759766;-9.992202758789062
2010-02-19;1197.367919921875;1253.018798828125;1197.367919921875;1239.0185546875;945.79150390625;1871;0.57;4.860000000000001;904.140869140625;959.791748046875;904.140869140625;0.005681742219227015;0.016949056289142783;0.3307;948.276220703125;-2.4847167968749773
2010-02-22;1261.7689208984375;1261.7689208984375;1250.9188232421875;1260.0189208984375;961.82177734375;1202;1.69;6.550000000000001;952.7216796875;963.57177734375;963.57177734375;0.016949056289142783;-0.024999860392697526;0.3375;946.9537048339844;14.868072509765625
2010-02-23;1259.31884765625;1259.31884765625;1227.118408203125;1228.5184326171875;937.7763671875;648;-2.5;4.050000000000001;936.3763427734375;968.5767822265625;968.5767822265625;-0.024999860392697526;0.005697929672815238;0.3358;945.7514343261719;-7.975067138671875
2010-02-24;1242.1685791015625;1242.1685791015625;1232.718505859375;1235.5185546875;943.1197509765625;188;0.57;4.620000000000001;940.3197021484375;949.769775390625;949.769775390625;0.005697929672815238;-0.008498406103931377;0.3361;944.6159515380859;-1.4962005615234375
2010-02-25;1235.1685791015625;1247.7686767578125;1192.117919921875;1225.0184326171875;935.104736328125;3428;-0.85;3.770000000000001;902.2042236328125;957.85498046875;945.2548828125;-0.008498406103931377;0.002857039169607667;0.337;943.2800994873047;-8.17536315917971
2010-02-26;1242.1685791015625;1242.1685791015625;1221.518310546875;1228.5184326171875;937.7763671875;2937;0.29;4.0600000000000005;930.7762451171875;951.426513671875;951.426513671875;0.002857039169607667;0.02564087878260879;0.3362;942.4785797119141;-4.702212524414108
2010-03-01;1225.0184326171875;1267.01904296875;1225.0184326171875;1260.0189208984375;961.82177734375;1822;2.56;6.620000000000001;926.8212890625;968.8218994140625;926.8212890625;0.02564087878260879;0.037777989868063466;0.3322;944.2151947021484;17.606582641601562
2010-03-02;1270.51904296875;1333.1700439453125;1270.1690673828125;1307.61962890625;998.157470703125;2777;3.78;10.4;960.7069091796875;1023.7078857421875;961.056884765625;0.037777989868063466;0.01713056258687584;0.3538;948.0357696533204;50.12170104980464
2010-03-03;1309.0196533203125;1347.520263671875;1301.6695556640625;1330.0198974609375;1015.2564697265625;1745;1.71;12.11;986.9061279296875;1032.7568359375;994.2562255859375;0.01713056258687584;0.013157899482997504;0.3502;951.6426055908203;63.61386413574223
2010-03-04;1347.520263671875;1361.17041015625;1316.3697509765625;1347.520263671875;1028.6151123046875;2928;1.32;13.43;997.464599609375;1042.2652587890625;1028.6151123046875;0.013157899482997504;0.022337494652233447;0.3469;954.9822723388672;73.63283996582027
2010-03-05;1340.1700439453125;1407.0211181640625;1340.1700439453125;1377.62060546875;1051.591796875;1465;2.23;15.66;1014.1412353515625;1080.9923095703125;1014.1412353515625;0.022337494652233447;0.0010162931939117215;0.3532;959.2035919189453;92.38820495605466
