Date;Open;High;Low;Close;Adj Close;Volume;ret;tret;Adj Low;Adj High;Adj Open;Returns;Target;Vol;MM20;Detrend
2010-01-04;22209.033203125;22335.580078125;21829.390625;21955.939453125;21955.939453125;119;;;21829.390625;22335.580078125;22209.033203125;;-0.005763762848552956;;;
2010-01-05;22082.486328125;22145.759765625;21702.84375;21829.390625;21829.390625;143;-0.58;-0.58;21702.84375;22145.759765625;22082.486328125;-0.005763762848552956;0.06376813513318136;;;
2010-01-06;21955.939453125;23537.779296875;21829.390625;23221.41015625;23221.41015625;680;6.38;5.8;21829.390625;23537.779296875;21955.939453125;0.06376813513318136;0.008174450403646505;;;
2010-01-07;23221.41015625;23854.146484375;22905.04296875;23411.232421875;23411.232421875;410;0.82;6.62;22905.04296875;23854.146484375;23221.41015625;0.008174450403646505;-0.005405474852607672;;;
2010-01-08;23537.779296875;23790.873046875;23031.58984375;23284.68359375;23284.68359375;236;-0.54;6.08;23031.58984375;23790.873046875;23537.779296875;-0.005405474852607672;-0.002717384466284223;;;
2010-01-11;23411.232421875;23664.326171875;23158.13671875;23221.41015625;23221.41015625;175;-0.27;5.8100000000000005;23158.13671875;23664.326171875;23411.232421875;-0.002717384466284223;-0.019073521354636136;;;
2010-01-12;23094.86328125;23411.232421875;22398.853515625;22778.49609375;22778.49609375;217;-1.91;3.9000000000000004;22398.853515625;23411.232421875;23094.86328125;-0.019073521354636136;0.03888887459818102;;;
2010-01-13;22841.76953125;24360.3359375;22651.94921875;23664.326171875;23664.326171875;413;3.89;7.790000000000001;22651.94921875;24360.3359375;22841.76953125;0.03888887459818102;0.0;;;
2010-01-14;23790.873046875;24297.0625;23411.232421875;23664.326171875;23664.326171875;198;0.0;7.790000000000001;23411.232421875;24297.0625;23790.873046875;0.0;-0.02406419208765831;;;
2010-01-15;23411.232421875;23664.326171875;22841.76953125;23094.86328125;23094.86328125;141;-2.41;5.380000000000001;22841.76953125;23664.326171875;23411.232421875;-0.02406419208765831;0.016438399028463557;;;
2010-01-18;23284.68359375;23854.146484375;22968.31640625;23474.505859375;23474.505859375;129;1.64;7.0200000000000005;22968.31640625;23854.146484375;23284.68359375;0.016438399028463557;0.05390829995339863;;;
2010-01-19;23537.779296875;25372.712890625;23537.779296875;24739.9765625;24739.9765625;1008;5.39;12.41;23537.779296875;25372.712890625;23537.779296875;0.05390829995339863;-0.033248076793726766;;;
2010-01-20;24676.703125;25689.08203125;23854.146484375;23917.419921875;23917.419921875;413;-3.32;9.09;23854.146484375;25689.08203125;24676.703125;-0.033248076793726766;-0.047619008732766144;;;
2010-01-21;24423.609375;24423.609375;22778.49609375;22778.49609375;22778.49609375;235;-4.76;4.33;22778.49609375;24423.609375;24423.609375;-0.047619008732766144;-0.0027777706324237927;;;
2010-01-22;22778.49609375;23347.95703125;22525.400390625;22715.22265625;22715.22265625;126;-0.28;4.05;22525.400390625;23347.95703125;22778.49609375;-0.0027777706324237927;0.0;;;
2010-01-26;22715.22265625;22778.49609375;22145.759765625;22715.22265625;22715.22265625;186;0.0;4.05;22145.759765625;22778.49609375;22715.22265625;0.0;0.00278550813511802;;;
