Date;Open;High;Low;Close;Adj Close;Volume
2010-01-04;22209.033203125;22335.580078125;21829.390625;21955.939453125;21955.939453125;119
2010-01-05;22082.486328125;22145.759765625;21702.84375;21829.390625;21829.390625;143
2010-01-06;21955.939453125;23537.779296875;21829.390625;23221.41015625;23221.41015625;680
2010-01-07;23221.41015625;23854.146484375;22905.04296875;23411.232421875;23411.232421875;410
2010-01-08;23537.779296875;23790.873046875;23031.58984375;23284.68359375;23284.68359375;236
2010-01-11;23411.232421875;23664.326171875;23158.13671875;23221.41015625;23221.41015625;175
2010-01-12;23094.86328125;23411.232421875;22398.853515625;22778.49609375;22778.49609375;217
2010-01-13;22841.76953125;24360.3359375;22651.94921875;23664.326171875;23664.326171875;413
2010-01-14;23790.873046875;24297.0625;23411.232421875;23664.326171875;23664.326171875;198
2010-01-15;23411.232421875;23664.326171875;22841.76953125;23094.86328125;23094.86328125;141
2010-01-18;23284.68359375;23854.146484375;22968.31640625;23474.505859375;23474.505859375;129
2010-01-19;23537.779296875;25372.712890625;23537.779296875;24739.9765625;24739.9765625;1008
2010-01-20;24676.703125;25689.08203125;23854.146484375;23917.419921875;23917.419921875;413
2010-01-21;24423.609375;24423.609375;22778.49609375;22778.49609375;22778.49609375;235
2010-01-22;22778.49609375;23347.95703125;22525.400390625;22715.22265625;22715.22265625;126
2010-01-26;22715.22265625;22778.49609375;22145.759765625;22715.22265625;22715.22265625;186
2010-01-27;22715.22265625;23094.86328125;22272.306640625;22778.49609375;22778.49609375;161
2010-01-28;23031.58984375;23094.86328125;22209.033203125;22462.126953125;22462.126953125;96
2010-01-29;22462.126953125;22715.22265625;21829.390625;22272.306640625;22272.306640625;248
2010-02-01;22335.580078125;22462.126953125;21955.939453125;22145.759765625;22145.759765625;256
2010-02-02;22145.759765625;22145.759765625;21133.3828125;21196.65625;21196.65625;863
2010-02-03;20880.287109375;21892.666015625;20753.740234375;21639.5703125;21639.5703125;1548
2010-02-04;21070.109375;21386.4765625;20247.55078125;20247.55078125;20247.55078125;1106
2010-02-05;19931.18359375;20563.919921875;19045.353515625;19614.81640625;19614.81640625;932
2010-02-08;19931.18359375;20437.373046875;19931.18359375;20121.00390625;20121.00390625;290
2010-02-09;20310.826171875;20880.287109375;20184.27734375;20500.646484375;20500.646484375;369
2010-02-10;20690.466796875;20753.740234375;20121.00390625;20247.55078125;20247.55078125;179
2010-02-11;20374.099609375;21070.109375;20247.55078125;20627.193359375;20627.193359375;361
2010-02-12;20437.373046875;20690.466796875;20374.099609375;20563.919921875;20563.919921875;96
2010-02-17;20880.287109375;21386.4765625;20563.919921875;21323.203125;21323.203125;228
2010-02-18;21386.4765625;21449.75;20880.287109375;21386.4765625;21386.4765625;611
2010-02-19;21196.65625;21449.75;20437.373046875;21196.65625;21196.65625;335
2010-02-22;21323.203125;21513.0234375;20880.287109375;20880.287109375;20880.287109375;198
2010-02-23;20817.013671875;20817.013671875;20121.00390625;20374.099609375;20374.099609375;181
2010-02-24;20500.646484375;20563.919921875;19804.63671875;19994.45703125;19994.45703125;252
2010-02-25;19804.63671875;19804.63671875;19235.173828125;19614.81640625;19614.81640625;455
2010-02-26;19931.18359375;20057.73046875;19361.720703125;19614.81640625;19614.81640625;322
2010-03-01;19994.45703125;20437.373046875;19678.08984375;19931.18359375;19931.18359375;152
2010-03-02;20184.27734375;20184.27734375;19488.267578125;19488.267578125;19488.267578125;301
2010-03-03;19614.81640625;19994.45703125;19235.173828125;19298.447265625;19298.447265625;389
2010-03-04;19424.994140625;19678.08984375;19045.353515625;19678.08984375;19678.08984375;290
2010-03-05;20057.73046875;20374.099609375;19361.720703125;19614.81640625;19614.81640625;712
2010-03-08;19741.36328125;19804.63671875;19298.447265625;19361.720703125;19361.720703125;152
2010-03-09;19361.720703125;19741.36328125;19361.720703125;19424.994140625;19424.994140625;160
2010-03-10;19551.54296875;19614.81640625;19108.626953125;19298.447265625;19298.447265625;391
2010-03-11;19298.447265625;19488.267578125;19171.900390625;19361.720703125;19361.720703125;183
2010-03-12;19424.994140625;19488.267578125;19235.173828125;19235.173828125;19235.173828125;165
2010-03-15;19361.720703125;19361.720703125;18222.796875;18792.259765625;18792.259765625;544
2010-03-16;18918.806640625;19741.36328125;18475.890625;19361.720703125;19361.720703125;435
2010-03-17;19678.08984375;19678.08984375;19108.626953125;19108.626953125;19108.626953125;216
2010-03-18;19235.173828125;19361.720703125;19045.353515625;19298.447265625;19298.447265625;91
2010-03-19;19361.720703125;19424.994140625;18792.259765625;18982.080078125;18982.080078125;271
2010-03-22;18918.806640625;19424.994140625;18602.4375;19361.720703125;19361.720703125;214
2010-03-23;19171.900390625;19614.81640625;19171.900390625;19488.267578125;19488.267578125;105
2010-03-24;19424.994140625;19678.08984375;19235.173828125;19424.994140625;19424.994140625;146
2010-03-25;19424.994140625;19488.267578125;19108.626953125;19235.173828125;19235.173828125;385
2010-03-26;19424.994140625;19424.994140625;19045.353515625;19171.900390625;19171.900390625;166
2010-03-29;19235.173828125;19488.267578125;19045.353515625;19488.267578125;19488.267578125;111
2010-03-30;19614.81640625;20817.013671875;19488.267578125;20690.466796875;20690.466796875;1362
2010-03-31;20184.27734375;20627.193359375;20057.73046875;20184.27734375;20184.27734375;662
2010-04-01;20310.826171875;20500.646484375;20184.27734375;20184.27734375;20184.27734375;245
2010-04-05;19994.45703125;20690.466796875;19804.63671875;20310.826171875;20310.826171875;241
2010-04-06;20247.55078125;20374.099609375;19804.63671875;19867.91015625;19867.91015625;288
2010-04-07;19867.91015625;20121.00390625;19614.81640625;19804.63671875;19804.63671875;297
2010-04-08;19614.81640625;20247.55078125;19551.54296875;20247.55078125;20247.55078125;0
2010-04-09;19994.45703125;20057.73046875;19551.54296875;19804.63671875;19804.63671875;133
2010-04-12;19741.36328125;20310.826171875;19741.36328125;19804.63671875;19804.63671875;206
2010-04-13;19867.91015625;20121.00390625;19614.81640625;19867.91015625;19867.91015625;99
2010-04-14;19994.45703125;20627.193359375;19994.45703125;20500.646484375;20500.646484375;439
2010-04-15;20374.099609375;20563.919921875;19994.45703125;20310.826171875;20310.826171875;193
2010-04-16;20310.826171875;20310.826171875;19614.81640625;19804.63671875;19804.63671875;147
2010-04-19;19741.36328125;19931.18359375;19235.173828125;19298.447265625;19298.447265625;177
2010-04-20;19488.267578125;19741.36328125;19235.173828125;19488.267578125;19488.267578125;205
2010-04-22;19488.267578125;19488.267578125;18918.806640625;19108.626953125;19108.626953125;199
2010-04-23;19171.900390625;19614.81640625;19045.353515625;19108.626953125;19108.626953125;126
2010-04-26;19361.720703125;19361.720703125;18982.080078125;19045.353515625;19045.353515625;83
2010-04-27;19171.900390625;19171.900390625;17906.427734375;17906.427734375;17906.427734375;678
2010-04-28;17969.701171875;18286.0703125;17590.060546875;17779.880859375;17779.880859375;194
2010-04-29;18096.25;18286.0703125;17843.154296875;18222.796875;18222.796875;156
2010-04-30;18222.796875;18222.796875;17779.880859375;17906.427734375;17906.427734375;250
2010-05-03;18222.796875;18918.806640625;17463.513671875;18918.806640625;18918.806640625;0
2010-05-04;17843.154296875;18096.25;17083.87109375;17526.787109375;17526.787109375;249
2010-05-05;17273.693359375;17400.240234375;16767.50390625;17020.59765625;17020.59765625;312
2010-05-06;17083.87109375;17083.87109375;15375.484375;16134.767578125;16134.767578125;325
2010-05-07;16071.494140625;16071.494140625;14932.5693359375;15312.2109375;15312.2109375;289
2010-05-10;16261.314453125;16767.50390625;16008.220703125;16704.23046875;16704.23046875;225
2010-05-11;16324.5888671875;17020.59765625;16261.314453125;16640.95703125;16640.95703125;112
2010-05-12;16577.68359375;17083.87109375;16577.68359375;16957.32421875;16957.32421875;85
2010-05-13;17083.87109375;17210.41796875;16704.23046875;16957.32421875;16957.32421875;152
2010-05-14;16830.77734375;16830.77734375;16071.494140625;16704.23046875;16704.23046875;185
2010-05-17;16451.134765625;16704.23046875;16008.220703125;16071.494140625;16071.494140625;179
2010-05-18;16387.861328125;16704.23046875;15059.1162109375;15185.6640625;15185.6640625;171
2010-05-19;14742.748046875;15185.6640625;14173.2861328125;14679.474609375;14679.474609375;264
2010-05-20;13983.4658203125;15565.3056640625;13793.64453125;14932.5693359375;14932.5693359375;401
2010-05-21;14616.201171875;16134.767578125;14616.201171875;15565.3056640625;15565.3056640625;278
2010-05-24;15881.6728515625;16577.68359375;15628.5791015625;16008.220703125;16008.220703125;214
2010-05-25;15185.6640625;15628.5791015625;14995.8427734375;15502.03125;15502.03125;192
2010-05-26;16071.494140625;16704.23046875;15818.3994140625;16514.41015625;16514.41015625;319
2010-05-27;16577.68359375;17590.060546875;16577.68359375;17210.41796875;17210.41796875;164
2010-05-28;17210.41796875;17463.513671875;16894.05078125;17400.240234375;17400.240234375;140
2010-05-31;17590.060546875;17716.607421875;17147.14453125;17716.607421875;17716.607421875;88
2010-06-01;17210.41796875;18032.9765625;17020.59765625;18032.9765625;18032.9765625;149
2010-06-02;17716.607421875;18159.5234375;17653.333984375;18032.9765625;18032.9765625;91
2010-06-04;17843.154296875;17843.154296875;17020.59765625;17273.693359375;17273.693359375;76
2010-06-07;17463.513671875;17463.513671875;16767.50390625;17083.87109375;17083.87109375;157
2010-06-08;17273.693359375;17590.060546875;17020.59765625;17526.787109375;17526.787109375;51
2010-06-09;17590.060546875;17969.701171875;17400.240234375;17590.060546875;17590.060546875;73
2010-06-10;17716.607421875;17969.701171875;17463.513671875;17653.333984375;17653.333984375;57
2010-06-11;17779.880859375;17779.880859375;17526.787109375;17590.060546875;17590.060546875;77
2010-06-14;17843.154296875;18286.0703125;17653.333984375;17716.607421875;17716.607421875;165
2010-06-15;17716.607421875;18032.9765625;17716.607421875;17906.427734375;17906.427734375;58
2010-06-16;18032.9765625;18032.9765625;17526.787109375;17716.607421875;17716.607421875;115
2010-06-17;17716.607421875;17779.880859375;17463.513671875;17716.607421875;17716.607421875;60
2010-06-18;17400.240234375;18096.25;17400.240234375;17843.154296875;17843.154296875;0
2010-06-21;17716.607421875;17969.701171875;17653.333984375;17716.607421875;17716.607421875;40
2010-06-22;17779.880859375;19171.900390625;17590.060546875;18792.259765625;18792.259765625;393
2010-06-23;18982.080078125;19361.720703125;18665.7109375;18665.7109375;18665.7109375;154
2010-06-24;18728.984375;18918.806640625;18222.796875;18602.4375;18602.4375;67
2010-06-25;18602.4375;18728.984375;18349.34375;18539.1640625;18539.1640625;15
2010-06-28;18665.7109375;18982.080078125;18539.1640625;18539.1640625;18539.1640625;41
2010-06-29;18032.9765625;18096.25;16134.767578125;17526.787109375;17526.787109375;148
2010-06-30;17463.513671875;17779.880859375;17083.87109375;17400.240234375;17400.240234375;70
2010-07-01;17526.787109375;17843.154296875;17083.87109375;17843.154296875;17843.154296875;41
2010-07-02;17716.607421875;18222.796875;17716.607421875;17906.427734375;17906.427734375;46
2010-07-05;17969.701171875;17969.701171875;17400.240234375;17653.333984375;17653.333984375;16
2010-07-06;17906.427734375;18286.0703125;17843.154296875;17843.154296875;17843.154296875;96
2010-07-07;17779.880859375;18539.1640625;17779.880859375;18539.1640625;18539.1640625;80
2010-07-08;18602.4375;18602.4375;18349.34375;18412.6171875;18412.6171875;20
2010-07-12;19045.353515625;19108.626953125;19045.353515625;19108.626953125;19108.626953125;42
2010-07-13;18222.796875;18475.890625;18096.25;18475.890625;18475.890625;84
2010-07-14;18286.0703125;18982.080078125;18032.9765625;18602.4375;18602.4375;225
2010-07-15;18602.4375;19931.18359375;18539.1640625;19551.54296875;19551.54296875;186
2010-07-16;19741.36328125;19741.36328125;19171.900390625;19298.447265625;19298.447265625;142
2010-07-19;19488.267578125;19614.81640625;18918.806640625;19298.447265625;19298.447265625;132
2010-07-20;19361.720703125;19361.720703125;18475.890625;18728.984375;18728.984375;105
2010-07-21;18855.533203125;19045.353515625;18728.984375;18982.080078125;18982.080078125;154
2010-07-22;19235.173828125;19614.81640625;19108.626953125;19614.81640625;19614.81640625;197
2010-07-23;19551.54296875;19741.36328125;19361.720703125;19424.994140625;19424.994140625;70
2010-07-26;19424.994140625;19741.36328125;19298.447265625;19298.447265625;19298.447265625;53
2010-07-27;19298.447265625;19551.54296875;18665.7109375;18728.984375;18728.984375;225
2010-07-28;18728.984375;19804.63671875;18728.984375;19488.267578125;19488.267578125;220
2010-07-29;19614.81640625;19867.91015625;19298.447265625;19741.36328125;19741.36328125;222
2010-07-30;19614.81640625;20753.740234375;19614.81640625;20753.740234375;20753.740234375;345
2010-08-02;20880.287109375;21259.9296875;20437.373046875;20563.919921875;20563.919921875;206
2010-08-03;20500.646484375;21323.203125;20247.55078125;20880.287109375;20880.287109375;206
2010-08-04;20563.919921875;20880.287109375;20310.826171875;20880.287109375;20880.287109375;96
2010-08-05;20563.919921875;20880.287109375;20500.646484375;20880.287109375;20880.287109375;31
2010-08-06;20563.919921875;21070.109375;20184.27734375;20563.919921875;20563.919921875;135
2010-08-09;20563.919921875;20880.287109375;20563.919921875;20627.193359375;20627.193359375;73
2010-08-10;20500.646484375;20817.013671875;20310.826171875;20817.013671875;20817.013671875;79
2010-08-11;20627.193359375;20817.013671875;20247.55078125;20817.013671875;20817.013671875;130
2010-08-12;20627.193359375;21702.84375;20627.193359375;21259.9296875;21259.9296875;356
2010-08-13;21323.203125;21702.84375;21006.833984375;21006.833984375;21006.833984375;175
2010-08-16;20943.560546875;21196.65625;20690.466796875;20880.287109375;20880.287109375;99
2010-08-17;20943.560546875;21196.65625;20500.646484375;20817.013671875;20817.013671875;162
2010-08-18;20690.466796875;20880.287109375;20500.646484375;20627.193359375;20627.193359375;45
2010-08-19;20563.919921875;20563.919921875;19551.54296875;19804.63671875;19804.63671875;166
2010-08-20;19741.36328125;19931.18359375;19235.173828125;19678.08984375;19678.08984375;162
2010-08-23;19931.18359375;20121.00390625;19424.994140625;19678.08984375;19678.08984375;51
2010-08-24;19614.81640625;19614.81640625;18982.080078125;19424.994140625;19424.994140625;113
2010-08-25;19298.447265625;19424.994140625;18918.806640625;18982.080078125;18982.080078125;136
2010-08-26;19235.173828125;19488.267578125;18286.0703125;18792.259765625;18792.259765625;132
2010-08-27;19045.353515625;19235.173828125;18982.080078125;19108.626953125;19108.626953125;296
2010-08-30;19298.447265625;19298.447265625;18665.7109375;18855.533203125;18855.533203125;0
2010-08-31;18918.806640625;19171.900390625;18792.259765625;18855.533203125;18855.533203125;41
2010-09-01;18665.7109375;18982.080078125;18412.6171875;18412.6171875;18412.6171875;0
2010-09-02;18222.796875;18475.890625;17590.060546875;17716.607421875;17716.607421875;377
2010-09-03;17969.701171875;18665.7109375;17843.154296875;18349.34375;18349.34375;190
2010-09-06;18475.890625;18475.890625;18159.5234375;18222.796875;18222.796875;15
2010-09-08;18222.796875;18286.0703125;17716.607421875;18096.25;18096.25;69
2010-09-09;18222.796875;18602.4375;18096.25;18602.4375;18602.4375;86
2010-09-10;18728.984375;18855.533203125;18349.34375;18539.1640625;18539.1640625;92
2010-09-13;18728.984375;18982.080078125;18602.4375;18918.806640625;18918.806640625;85
2010-09-14;18982.080078125;19108.626953125;18792.259765625;18982.080078125;18982.080078125;61
2010-09-15;18918.806640625;19424.994140625;18602.4375;19171.900390625;19171.900390625;424
2010-09-16;19108.626953125;19551.54296875;18982.080078125;19424.994140625;19424.994140625;407
2010-09-17;19488.267578125;20184.27734375;19361.720703125;19741.36328125;19741.36328125;216
2010-09-20;19931.18359375;20121.00390625;19931.18359375;20121.00390625;20121.00390625;2
2010-09-21;19488.267578125;19551.54296875;19171.900390625;19235.173828125;19235.173828125;69
2010-09-22;19298.447265625;19298.447265625;18728.984375;18982.080078125;18982.080078125;0
2010-09-23;18855.533203125;19361.720703125;18855.533203125;19045.353515625;19045.353515625;30
2010-09-24;19235.173828125;19298.447265625;18539.1640625;18539.1640625;18539.1640625;44
2010-09-27;18665.7109375;18918.806640625;18412.6171875;18728.984375;18728.984375;148
2010-09-28;18855.533203125;19045.353515625;18602.4375;18855.533203125;18855.533203125;74
2010-09-29;18855.533203125;19361.720703125;18728.984375;19235.173828125;19235.173828125;547
2010-09-30;19235.173828125;19678.08984375;18855.533203125;19678.08984375;19678.08984375;101
2010-10-01;19488.267578125;19867.91015625;19235.173828125;19678.08984375;19678.08984375;123
2010-10-04;19614.81640625;19804.63671875;19171.900390625;19298.447265625;19298.447265625;58
2010-10-05;19614.81640625;19678.08984375;19298.447265625;19298.447265625;19298.447265625;31
2010-10-06;19235.173828125;19931.18359375;19171.900390625;19424.994140625;19424.994140625;83
2010-10-07;19361.720703125;19614.81640625;18792.259765625;18918.806640625;18918.806640625;513
