;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;03/07/2023;0,1020;JRS CAP PROPRIO;21/07/2023 ;1;BEES4
1;30/06/2023;0,0222;JRS CAP PROPRIO;01/08/2023 ;1;BEES4
2;31/05/2023;0,0222;JRS CAP PROPRIO;03/07/2023 ;1;BEES4
3;03/05/2023;0,1804;DIVIDENDO;22/05/2023 ;1;BEES4
4;28/04/2023;0,0222;JRS CAP PROPRIO;01/06/2023 ;1;BEES4
5;31/03/2023;0,0222;JRS CAP PROPRIO;02/05/2023 ;1;BEES4
6;28/02/2023;0,0222;JRS CAP PROPRIO;03/04/2023 ;1;BEES4
7;31/01/2023;0,0222;JRS CAP PROPRIO;01/03/2023 ;1;BEES4
8;29/12/2022;0,0206;JRS CAP PROPRIO;01/02/2023 ;1;BEES4
9;15/12/2022;0,0833;JRS CAP PROPRIO;29/12/2022 ;1;BEES4
10;30/11/2022;0,0206;JRS CAP PROPRIO;02/01/2023 ;1;BEES4
11;31/10/2022;0,0206;JRS CAP PROPRIO;01/12/2022 ;1;BEES4
12;30/09/2022;0,0206;JRS CAP PROPRIO;01/11/2022 ;1;BEES4
13;31/08/2022;0,0206;JRS CAP PROPRIO;03/10/2022 ;1;BEES4
14;29/07/2022;0,0206;JRS CAP PROPRIO;01/09/2022 ;1;BEES4
15;30/06/2022;0,0748;JRS CAP PROPRIO;15/07/2022 ;1;BEES4
16;30/06/2022;0,0206;JRS CAP PROPRIO;01/08/2022 ;1;BEES4
17;31/05/2022;0,0206;JRS CAP PROPRIO;01/07/2022 ;1;BEES4
18;04/05/2022;0,1815;DIVIDENDO;20/05/2022 ;1;BEES4
19;29/04/2022;0,0206;JRS CAP PROPRIO;01/06/2022 ;1;BEES4
20;31/03/2022;0,0206;JRS CAP PROPRIO;02/05/2022 ;1;BEES4
21;25/02/2022;0,0206;JRS CAP PROPRIO;01/04/2022 ;1;BEES4
22;31/01/2022;0,0206;JRS CAP PROPRIO;02/03/2022 ;1;BEES4
23;30/12/2021;0,0190;JRS CAP PROPRIO;01/02/2022 ;1;BEES4
24;16/12/2021;0,0373;JRS CAP PROPRIO;30/12/2021 ;1;BEES4
25;30/11/2021;0,0190;JRS CAP PROPRIO;03/01/2022 ;1;BEES4
26;29/10/2021;0,0190;JRS CAP PROPRIO;01/12/2021 ;1;BEES4
27;30/09/2021;0,0190;JRS CAP PROPRIO;01/11/2021 ;1;BEES4
28;31/08/2021;0,0190;JRS CAP PROPRIO;01/10/2021 ;1;BEES4
29;30/07/2021;0,0190;JRS CAP PROPRIO;01/09/2021 ;1;BEES4
30;30/06/2021;0,0190;JRS CAP PROPRIO;02/08/2021 ;1;BEES4
31;31/05/2021;0,0190;JRS CAP PROPRIO;01/07/2021 ;1;BEES4
32;06/05/2021;0,0769;JRS CAP PROPRIO;20/05/2021 ;1;BEES4
33;30/04/2021;0,0190;JRS CAP PROPRIO;01/06/2021 ;1;BEES4
34;31/03/2021;0,0190;JRS CAP PROPRIO;03/05/2021 ;1;BEES4
35;26/02/2021;0,0190;JRS CAP PROPRIO;01/04/2021 ;1;BEES4
