;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;05/07/2023;0,5714;JRS CAP PROPRIO;28/07/2023 ;1;MOAR3
1;19/05/2023;1,2244;JRS CAP PROPRIO;31/05/2023 ;1;MOAR3
2;24/03/2023;1,2244;JRS CAP PROPRIO;05/04/2023 ;1;MOAR3
3;20/12/2022;1,2244;DIVIDENDO;29/12/2022 ;1;MOAR3
4;21/09/2022;0,8162;JRS CAP PROPRIO;03/10/2022 ;1;MOAR3
5;21/09/2022;0,4081;DIVIDENDO;03/10/2022 ;1;MOAR3
6;19/07/2022;0,7346;JRS CAP PROPRIO;01/08/2022 ;1;MOAR3
7;19/07/2022;1,3060;DIVIDENDO;01/08/2022 ;1;MOAR3
8;20/05/2022;0,7346;JRS CAP PROPRIO;01/06/2022 ;1;MOAR3
9;20/05/2022;1,3060;DIVIDENDO;01/06/2022 ;1;MOAR3
10;21/03/2022;0,6530;JRS CAP PROPRIO;31/03/2022 ;1;MOAR3
11;21/03/2022;1,3876;DIVIDENDO;31/03/2022 ;1;MOAR3
12;21/01/2022;0,4081;JRS CAP PROPRIO;02/02/2022 ;1;MOAR3
13;21/01/2022;5,7137;DIVIDENDO;02/02/2022 ;1;MOAR3
14;17/12/2021;0,7346;JRS CAP PROPRIO;30/12/2021 ;1;MOAR3
15;17/12/2021;5,3872;DIVIDENDO;30/12/2021 ;1;MOAR3
16;04/11/2021;24,4874;DIVIDENDO;12/11/2021 ;1;MOAR3
17;20/09/2021;0,5714;JRS CAP PROPRIO;01/10/2021 ;1;MOAR3
18;20/09/2021;3,5099;DIVIDENDO;01/10/2021 ;1;MOAR3
19;20/07/2021;0,5714;JRS CAP PROPRIO;02/08/2021 ;1;MOAR3
20;20/07/2021;0,6530;DIVIDENDO;02/08/2021 ;1;MOAR3
21;20/05/2021;0,6530;JRS CAP PROPRIO;02/06/2021 ;1;MOAR3
22;20/05/2021;3,4282;DIVIDENDO;02/06/2021 ;1;MOAR3
23;19/03/2021;0,8162;JRS CAP PROPRIO;01/04/2021 ;1;MOAR3
24;19/03/2021;3,2650;DIVIDENDO;01/04/2021 ;1;MOAR3
25;21/12/2020;0,9795;JRS CAP PROPRIO;05/01/2021 ;1;MOAR3
26;23/09/2020;1,7549;JRS CAP PROPRIO;05/10/2020 ;1;MOAR3
27;23/09/2020;0,2857;DIVIDENDO;05/10/2020 ;1;MOAR3
28;25/05/2020;1,0203;DIVIDENDO;03/06/2020 ;1;MOAR3
29;08/04/2020;1,4284;JRS CAP PROPRIO;20/04/2020 ;1;MOAR3
30;24/01/2020;0,4897;DIVIDENDO;03/02/2020 ;1;MOAR3
31;27/12/2019;0,7346;JRS CAP PROPRIO;03/02/2020 ;1;MOAR3
32;25/11/2019;1,2244;JRS CAP PROPRIO;05/12/2019 ;1;MOAR3
33;24/09/2019;1,2244;DIVIDENDO;01/10/2019 ;1;MOAR3
34;17/07/2019;0,8979;JRS CAP PROPRIO;01/08/2019 ;1;MOAR3
35;17/07/2019;1,1427;DIVIDENDO;01/08/2019 ;1;MOAR3
36;20/05/2019;0,8979;JRS CAP PROPRIO;03/06/2019 ;1;MOAR3
37;20/05/2019;3,1834;DIVIDENDO;03/06/2019 ;1;MOAR3
38;15/03/2019;1,1427;JRS CAP PROPRIO;01/04/2019 ;1;MOAR3
39;15/03/2019;0,8979;DIVIDENDO;01/04/2019 ;1;MOAR3
40;16/01/2019;0,4081;JRS CAP PROPRIO;01/02/2019 ;1;MOAR3
41;16/01/2019;1,6325;DIVIDENDO;01/02/2019 ;1;MOAR3
42;18/12/2018;1,7141;JRS CAP PROPRIO;04/01/2019 ;1;MOAR3
43;17/09/2018;1,4692;JRS CAP PROPRIO;01/10/2018 ;1;MOAR3
44;17/09/2018;2,6120;DIVIDENDO;01/10/2018 ;1;MOAR3
45;18/07/2018;1,7141;JRS CAP PROPRIO;01/08/2018 ;1;MOAR3
46;18/07/2018;1,1427;DIVIDENDO;01/08/2018 ;1;MOAR3
47;21/05/2018;4,0812;DIVIDENDO;01/06/2018 ;1;MOAR3
48;16/03/2018;1,2244;JRS CAP PROPRIO;29/03/2018 ;1;MOAR3
49;16/03/2018;0,8162;DIVIDENDO;29/03/2018 ;1;MOAR3
50;18/01/2018;0,4897;JRS CAP PROPRIO;01/02/2018 ;1;MOAR3
51;18/01/2018;1,5509;DIVIDENDO;01/02/2018 ;1;MOAR3
52;13/12/2017;2,3671;JRS CAP PROPRIO;- ;1;MOAR3
53;13/12/2017;0,4897;DIVIDENDO;- ;1;MOAR3
54;24/10/2017;2,0406;DIVIDENDO;- ;1;MOAR3
55;17/08/2017;2,0406;JRS CAP PROPRIO;- ;1;MOAR3
