;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;29/12/2022;0,2100;JRS CAP PROPRIO;27/01/2023 ;1;TOTS3
1;04/08/2022;0,1000;JRS CAP PROPRIO;23/09/2022 ;1;TOTS3
2;28/12/2021;0,1300;JRS CAP PROPRIO;20/05/2022 ;1;TOTS3
3;04/08/2021;0,0900;JRS CAP PROPRIO;22/10/2021 ;1;TOTS3
4;20/04/2021;0,0900;DIVIDENDO;20/05/2021 ;1;TOTS3
5;21/12/2020;0,1000;JRS CAP PROPRIO;20/05/2021 ;1;TOTS3
6;10/08/2020;0,0700;JRS CAP PROPRIO;22/10/2020 ;1;TOTS3
7;27/04/2020;0,1301;DIVIDENDO;20/05/2020 ;1;TOTS3
8;23/12/2019;0,2300;JRS CAP PROPRIO;20/05/2020 ;1;TOTS3
9;12/08/2019;0,1900;JRS CAP PROPRIO;10/10/2019 ;1;TOTS3
10;28/12/2018;0,0800;JRS CAP PROPRIO;09/05/2019 ;1;TOTS3
11;01/08/2018;0,0900;JRS CAP PROPRIO;03/10/2018 ;1;TOTS3
12;01/08/2018;0,1100;DIVIDENDO;03/10/2018 ;1;TOTS3
13;05/04/2018;0,0333;DIVIDENDO;09/05/2018 ;1;TOTS3
14;27/12/2017;0,1067;JRS CAP PROPRIO;- ;1;TOTS3
15;03/08/2017;0,2014;JRS CAP PROPRIO;- ;1;TOTS3
16;20/04/2017;0,0451;DIVIDENDO;- ;1;TOTS3
17;21/12/2016;0,2486;JRS CAP PROPRIO;- ;1;TOTS3
18;04/08/2016;0,2670;JRS CAP PROPRIO;- ;1;TOTS3
19;26/04/2016;0,4074;DIVIDENDO;- ;1;TOTS3
20;21/12/2015;0,1917;JUROS;- ;1;TOTS3
21;03/08/2015;0,1793;JUROS;- ;1;TOTS3
22;27/02/2015;0,7675;Dividendo;- ;1;TOTS3
23;22/12/2014;0,1205;JRS CAP PROPRIO;- ;1;TOTS3
24;01/08/2014;0,1334;JRS CAP PROPRIO;- ;1;TOTS3
25;14/03/2014;0,7103;DIVIDENDO;- ;1;TOTS3
26;23/12/2013;0,1124;JRS CAP PRÓPRIO;- ;1;TOTS3
27;01/08/2013;0,1327;JRS CAP PRÓPRIO;- ;1;TOTS3
28;05/03/2013;0,4813;DIVIDENDO;- ;1;TOTS3
29;21/12/2012;0,2487;JRS CAP PRÓPRIO;- ;1;TOTS3
30;21/03/2012;0,4045;DIVIDENDO;- ;1;TOTS3
31;21/12/2011;0,2195;JRS CAP PRÓPRIO;- ;1;TOTS3
32;10/03/2011;1,9106;DIVIDENDO;- ;1;TOTS3
33;21/12/2010;0,8583;JRS CAP PRÓPRIO;- ;1;TOTS3
34;24/03/2010;1,5921;DIVIDENDO;- ;1;TOTS3
35;10/12/2009;0,7223;JRS CAP PRÓPRIO;- ;1;TOTS3
36;25/03/2009;0,5300;DIVIDENDO;- ;1;TOTS3
37;18/12/2008;0,6260;JRS CAP PRÓPRIO;- ;1;TOTS3
38;07/03/2008;1,1084;DIVIDENDO;- ;1;TOTS3
39;16/03/2007;0,8454;DIVIDENDO;- ;1;TOTS3
40;;;;;;TOTS3
41;2022;0,310;;;;TOTS3
42;2021;0,310;;;;TOTS3
43;2020;0,300;;;;TOTS3
44;2019;0,420;;;;TOTS3
45;2018;0,313;;;;TOTS3
46;2017;0,353;;;;TOTS3
47;2016;0,923;;;;TOTS3
48;2015;1,139;;;;TOTS3
49;2014;0,964;;;;TOTS3
50;2013;0,727;;;;TOTS3
51;2012;0,653;;;;TOTS3
52;2011;2,130;;;;TOTS3
53;2010;2,450;;;;TOTS3
