;Papel;Total_Acumulado
0;AALR3;2.56
1;ABCB4;7.34
2;ABEV3;-1.39
3;ADHM3;0.0
4;AERI3;-8.1
5;AESB3;-0.79
6;AFLT3;4.86
7;AGRO3;7.9
8;AGXY3;-2.98
9;AHEB3;-0.05
10;ALLD3;4.44
11;ALPA3;-10.35
12;ALPA4;-18.5
13;ALPK3;23.9
14;ALSO3;8.71
15;ALUP11;0.25
16;ALUP3;2.0
17;ALUP4;1.21
18;AMAR3;14.26
19;AMER3;-2.33
20;AMBP3;16.04
21;ANIM3;3.14
22;APER3;3.52
23;ARML3;7.74
24;ARZZ3;12.31
25;ASAI3;4.17
26;ATMP3;96.96
27;ATOM3;6.2
28;AURA33;2.54
29;AVLL3;28.56
30;AZEV3;17.51
31;AZEV4;14.62
32;AZUL4;-5.93
33;B3SA3;-0.62
34;BAHI3;10.63
35;BALM3;6.66
36;BALM4;-2.6
37;BAUH4;3.06
38;BAZA3;3.43
39;BBAS3;1.11
40;BBDC3;1.2
41;BBDC4;-2.59
42;BBSE3;2.91
43;BDLL3;-8.92
44;BDLL4;0.49
45;BEEF3;-5.39
46;BEES3;-0.83
47;BEES4;-17.26
48;BGIP3;-10.13
49;BGIP4;5.51
50;BIOM3;-2.46
51;BLAU3;0.73
52;BMEB3;2.23
53;BMEB4;3.15
54;BMGB4;15.11
55;BMIN3;-5.98
56;BMIN4;0.88
57;BMKS3;-2.39
58;BMOB3;-2.0
59;BNBR3;8.24
60;BOAS3;3.08
61;BOBR4;2.15
62;BPAC11;8.59
63;BPAC3;6.45
64;BPAC5;12.65
65;BPAN4;8.4
66;BRAP3;-2.17
67;BRAP4;-6.41
68;BRBI11;12.6
69;BRFS3;10.5
70;BRGE11;0.0
71;BRGE12;0.0
72;BRGE3;1.08
73;BRGE5;0.0
74;BRGE6;0.0
75;BRGE8;0.8
76;BRIT3;7.56
77;BRIV3;3.79
78;BRKM3;-6.21
79;BRKM5;-9.79
80;BRKM6;-8.0
81;BRPR3;33.54
82;BRSR3;4.23
83;BRSR5;-2.78
84;BRSR6;6.12
85;BSLI3;-21.29
86;BSLI4;2.21
87;CAMB3;-0.76
88;CAML3;-4.97
89;CASH3;-12.53
90;CBAV3;-6.94
91;CBEE3;-9.21
92;CCRO3;-1.9
93;CEAB3;18.25
94;CEBR3;6.05
95;CEBR5;6.75
96;CEBR6;16.29
97;CEDO3;21.67
98;CEDO4;8.63
99;CEEB3;8.72
100;CEED3;-16.41
101;CEED4;0.0
102;CEGR3;-4.49
103;CGAS3;-3.79
104;CGAS5;-0.54
105;CGRA3;5.97
106;CGRA4;9.88
107;CIEL3;3.15
108;CLSA3;-3.04
109;CLSC3;11.16
110;CLSC4;7.45
111;CMIG3;2.1
112;CMIG4;3.22
113;CMIN3;-5.86
114;COCE3;0.0
115;COCE5;-1.77
116;COGN3;3.35
