;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
0;AALR3;ON NM;ALLIAR ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;23,85;10/07/2023;19,45;23,86;6.056.720;2.821.290.000;3.681.510.000;31/03/2023;118293000;0.04;-11.40;-2.09;3.11;7.67;0;30.8;2.57;-0.1;1.10;-21.7;-11.28;-0.0;-2.35;-0.1;0.0;-27.3;31.78;0.63;-3067.93;1.2;2.571.690.000;154.614.000;433.144.000;1.014.840.000;860.225.000;906.947.000;-247.442.000;-36.179.000
1;ABCB4;PN N2;ABC Brasil PN N2;Intermediários Financeiros;18,11;10/07/2023;13,86;21,26;19.356.600;4.094.490.000;-;31/03/2023;226090000;-0.17;5.07;3.57;0.77;23.46;0;0;0;0;0;0.0;0;0.0;0;0;8.7;15.2;0;0;0;43.4;53.540.400.000;0;0;0;0;5.303.110.000;807.095.000;190.023.000
2;ABEV3;ON;AMBEV S/A ON;Bebidas;15,01;10/07/2023;12,86;16,03;308.814.000;236.465.000.000;227.675.000.000;31/03/2023;15753800000;1.08;16.04;0.94;2.78;5.40;14.83;49.7;2.89;19.5;1.75;18.6;-932.10;11.8;-17.32;15.6;5.1;17.3;10.54;0.99;14.28;13.7;135.467.000.000;12.579.400.000;35.378.700.000;3.789.350.000;-8.790.020.000;84.999.600.000;14.744.700.000;3.699.580.000
3;ADHM3;ON;ADVANCED-DH ON;;1,56;28/12/2020;1,07;3,24;2.064;25.440.500;25.440.500;30/09/2019;16308000;0.00;-4.09;-0.38;-1.29;-1.21;-5.69;100.0;770.92;-13548.5;105.13;-18860.6;-1.43;-1847.5;-1.27;521.7;0.0;31.5;-5.81;0.00;-5.69;43.5;242.000;0;23.000;0;0;-19.776.000;-6.224.000;-2.492.000
4;AERI3;ON NM;AERIS ON NM;Máquinas e Equipamentos;1,30;10/07/2023;0,88;3,47;8.771.770;996.077.000;1.980.880.000;31/03/2023;766213000;-4.41;-8.57;-0.15;1.15;1.13;3.89;13.1;0.36;9.3;0.30;-4.2;0.99;7.8;-2.95;12.0;0.0;-13.5;6.36;1.93;7.73;17.7;3.288.870.000;828.913.000;2.089.070.000;1.813.720.000;984.805.000;862.600.000;-116.161.000;-22.206.000
5;AFLT3;ON;AFLUENTE T ON;Energia Elétrica;9,49;10/07/2023;8,08;9,81;4.096;598.677.000;579.789.000;31/03/2023;63085000;0.64;15.27;0.62;2.21;4.30;14.91;59.7;7.47;50.1;1.94;49.0;10.29;13.0;15.51;14.0;6.3;14.5;14.38;4.34;14.44;31.5;308.210.000;19.174.000;75.644.000;286.000;-18.888.000;271.165.000;39.219.000;10.433.000
6;AGRO3;ON NM;BRASILAGRO ON NM;Agropecuária;25,66;10/07/2023;20,04;31,35;12.140.800;2.626.990.000;3.285.280.000;31/03/2023;102377000;-0.77;66.66;0.38;1.29;19.91;62.66;13.1;2.31;3.7;0.79;3.5;3.47;1.3;39.49;1.4;12.6;1.9;26.38;2.25;78.36;29.9;3.332.820.000;251.358.000;1.361.360.000;909.640.000;658.282.000;2.037.980.000;39.409.000;-3.293.000
7;AGXY3;ON NM;AGROGALAXY ON NM;Agropecuária;5,91;10/07/2023;5,72;9,91;609.935;1.009.580.000;2.223.840.000;31/03/2023;170825000;0.17;22.90;0.26;0.70;8.45;1.65;13.6;0.09;5.5;0.09;0.5;1.16;5.5;-3.77;15.1;0.7;3.1;3.05;1.10;3.62;78.0;11.105.500.000;799.199.000;9.371.370.000;2.013.470.000;1.214.270.000;1.442.660.000;44.087.000;-43.605.000
8;AHEB3;ON;PARQUE ANHEMBI ON;Viagens e Lazer;22,09;06/07/2023;17,00;30,00;469;188.737.000;148.470.000;31/03/2023;8544000;0.00;2.87;7.70;26.05;0.85;1.92;40.2;0.46;23.8;0.52;15.9;5.06;27.2;-0.91;35.2;0.0;908.7;1.41;1.34;1.51;43.6;361.856.000;44.988.000;148.236.000;4.721.000;-40.267.000;7.244.000;65.824.000;12.857.000
9;ALLD3;ON NM;ALLIED ON NM;Comércio;7,09;10/07/2023;4,50;11,47;610.555;660.934.000;994.382.000;31/03/2023;93220600;-1.53;9.44;0.75;0.44;16.26;3.58;14.7;0.13;3.6;0.18;1.4;0.62;5.0;1.59;8.3;5.0;4.6;3.88;1.70;5.39;1.1;3.681.100.000;315.422.000;2.579.550.000;648.870.000;333.448.000;1.516.110.000;69.988.000;16.326.000
10;ALPA3;ON N1;ALPARGATAS ON N1;Tecidos, Vestuário e Calçados;10,05;10/07/2023;7,80;19,66;111.331;6.864.770.000;7.765.880.000;31/03/2023;683062000;0.10;-61.84;-0.16;1.25;8.07;16.02;45.1;1.65;10.3;0.84;-2.7;3.49;5.3;10.31;6.0;0.0;-2.0;12.95;2.50;18.12;2.3;8.127.530.000;480.855.000;3.281.020.000;1.381.960.000;901.106.000;5.510.850.000;-111.016.000;-199.568.000
11;ALPA4;PN N1;ALPARGATAS PN N1;Tecidos, Vestuário e Calçados;8,96;10/07/2023;7,02;23,60;76.081.800;6.120.240.000;7.021.340.000;31/03/2023;683062000;-2.61;-55.13;-0.16;1.11;8.07;14.28;45.1;1.47;10.3;0.75;-2.7;3.11;5.3;9.19;6.0;0.0;-2.0;11.71;2.50;16.39;2.3;8.127.530.000;480.855.000;3.281.020.000;1.381.960.000;901.106.000;5.510.850.000;-111.016.000;-199.568.000
12;ALPK3;ON NM;ESTAPAR ON NM;Serviços Diversos;5,90;10/07/2023;1,11;5,90;2.931.330;1.265.120.000;2.477.450.000;31/03/2023;214427000;18.71;-8.50;-0.69;3.30;1.79;5.45;29.3;1.08;19.8;0.47;-12.3;-4.94;8.6;-0.67;10.3;0.0;-38.8;5.35;0.63;10.68;43.4;2.708.960.000;306.632.000;442.380.000;1.518.970.000;1.212.340.000;382.986.000;-148.768.000;-31.761.000
13;ALSO3;ON;ALIANSCSONAE ON;Exploração de Imóveis;25,26;10/07/2023;15,15;25,47;117.841.000;14.497.600.000;12.380.600.000;31/03/2023;573937000;-0.82;4.71;5.36;0.98;25.74;20.48;69.4;9.89;48.3;0.50;215.1;9.48;2.5;-1.51;2.7;2.1;20.8;11.89;1.93;17.49;32.9;28.721.700.000;2.117.070.000;3.179.910.000;0;-2.117.070.000;14.770.700.000;3.074.910.000;2.974.980.000
14;ALUP11;UNT N2;ALUPAR UNT N2;Energia Elétrica;29,33;10/07/2023;22,45;30,24;25.598.200;8.938.570.000;17.867.300.000;31/03/2023;914276000;-0.41;12.45;2.36;1.24;23.57;3.33;79.8;2.51;75.6;0.31;36.9;2.99;9.4;-0.73;10.5;5.1;10.0;6.30;2.15;6.65;6.5;28.614.700.000;2.843.350.000;5.599.950.000;11.772.100.000;8.928.700.000;7.183.090.000;718.197.000;230.710.000
